Group,Optimizer,Loop,JoinOrder,Reward,Duration
1d.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,457.37
27b.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,633.884
13a.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1821.79
25c.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,4801.95
6b.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,291.083
2a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1145.27
13d.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1375.62
29a.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1284.99
14b.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1185.38
30c.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,2329.98
6f.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,2400.9
22b.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,903.059
24b.sql,Dynamic Programming,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,NULL,1359.79
6d.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,413.944
17d.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1261.28
13b.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1159.84
17e.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,3122.76
5a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,951.478
15d.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,1717.89
16a.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4321.12
11c.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,164.667
10a.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,956.905
11a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,164.13
5c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1391.64
29b.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1110.23
8a.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,595.613
12a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,609.774
14c.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1570.39
19a.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1444.8
16c.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4288.93
4b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,121.048
33a.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,469.669
